ID,Site,Transect,StartEnd,UTMn,UTMe,Note
5th_mid15,,,15,5721421.247,558347.8951,
5th_mid16,,,16,5721420.879,558346.965,
5th_mid17,,,17,5721420.512,558346.0349,
5th_mid18,,,18,5721420.145,558345.1048,
5th_mid19,,,19,5721419.777,558344.1748,
5th_mid20,,,20,5721419.41,558343.2447,
5th_mid21,,,21,5721419.043,558342.3146,
5th_mid22,,,22,5721418.675,558341.3845,
5th_mid23,,,23,5721418.308,558340.4544,
5th_mid24,,,24,5721417.941,558339.5243,
5th_mid25,,,25,5721417.573,558338.5943,
5th_mid30,5B,Mid,End,5721417.075,558337.333,
5th_low0,5B,Low,Start,5721431.22,558358.3849,
5th_low1,,,1,5721430.787,558357.4833,
5th_low2,,,2,5721430.355,558356.5816,
5th_low3,,,3,5721429.922,558355.68,
5th_low4,,,4,5721429.49,558354.7784,
5th_low5,,,5,5721429.057,558353.8767,
5th_low6,,,6,5721428.625,558352.9751,
5th_low7,,,7,5721428.192,558352.0735,
5th_low8,,,8,5721427.76,558351.1718,
5th_low9,,,9,5721427.327,558350.2702,
5th_low10,,,10,5721426.895,558349.3686,
5th_low11,,,11,5721426.462,558348.4669,
5th_low12,,,12,5721426.03,558347.5653,
5th_low13,,,13,5721425.597,558346.6637,
5th_low14,,,14,5721425.165,558345.7621,
5th_low15,,,15,5721424.732,558344.8604,
5th_low16,,,16,5721424.3,558343.9588,
5th_low17,,,17,5721423.867,558343.0572,
5th_low18,,,18,5721423.435,558342.1555,
5th_low19,,,19,5721423.002,558341.2539,
5th_low20,,,20,5721422.57,558340.3523,
5th_low21,,,21,5721422.137,558339.4506,
5th_low22,,,22,5721421.705,558338.549,
5th_low23,,,23,5721421.272,558337.6474,
5th_low30,5B,Low,End,5721420.771,558336.6021,
Meay_Lower_0,MEAY,Low,Start,5723996.64,562442.613,Called Meay_Lower_1 in the table
Meay_Lower_1,,,1,5723995.653,562442.7739,
Meay_Lower_2,,,2,5723994.666,562442.9348,
Meay_Lower_3,,,3,5723993.679,562443.0957,
Meay_Lower_4,,,4,5723992.692,562443.2566,
Meay_Lower_5,,,5,5723991.705,562443.4175,
Meay_Lower_6,,,6,5723990.718,562443.5784,
Meay_Lower_7,,,7,5723989.731,562443.7393,
Meay_Lower_8,,,8,5723988.744,562443.9002,
Meay_Lower_9,,,9,5723987.757,562444.0611,
Meay_Lower_10,,,10,5723986.77,562444.222,
Meay_Lower_11,,,11,5723985.783,562444.3829,
Meay_Lower_12,,,12,5723984.796,562444.5438,
Meay_Lower_13,,,13,5723983.809,562444.7047,
Meay_Lower_14,,,14,5723982.822,562444.8656,
Meay_Lower_15,,,15,5723981.835,562445.0265,
Meay_Lower_16,,,16,5723980.848,562445.1874,
Meay_Lower_17,,,17,5723979.861,562445.3483,
Meay_Lower_18,,,18,5723978.875,562445.5092,
Meay_Lower_19,,,19,5723977.888,562445.6701,
Meay_Lower_20,,,20,5723976.901,562445.831,
Meay_Lower_21,,,21,5723975.914,562445.9919,
Meay_Lower_22,,,22,5723974.927,562446.1528,
Meay_Lower_23,,,23,5723973.94,562446.3137,
Meay_Lower_24,,,24,5723972.953,562446.4746,
Meay_Lower_25,,,25,5723971.966,562446.6355,
Meay_Lower_26,,,26,5723970.979,562446.7964,
Meay_Lower_27,,,27,5723969.992,562446.9573,
Meay_Lower_28,,,28,5723969.005,562447.1182,
Meay_Lower_29,,,29,5723968.018,562447.2791,
Meay_Lower_30,,,30,5723967.031,562447.44,
Meay_Lower_31,,,31,5723966.044,562447.6009,
Meay_Lower_32,,,32,5723965.057,562447.7618,
Meay_Lower_33,,,33,5723964.07,562447.9227,
Meay_Lower_34,,,34,5723963.083,562448.0836,
Meay_Lower_35,,,35,5723962.096,562448.2445,
Meay_Lower_36,,,36,5723961.109,562448.4054,
Meay_Lower_37,,,37,5723960.122,562448.5663,
Meay_Lower_38,,,38,5723959.135,562448.7272,
Meay_Lower_39,,,39,5723958.148,562448.8881,
Meay_Lower_40,,,40,5723957.161,562449.049,
Meay_Lower_41,,,41,5723956.174,562449.2099,
Meay_Lower_42,,,42,5723955.187,562449.3708,
Meay_Lower_43,,,43,5723954.2,562449.5317,
Meay_Lower_44,,,44,5723953.213,562449.6926,
Meay_Lower_45,,,45,5723952.226,562449.8535,
Meay_Lower_46,,,46,5723951.239,562450.0144,
Meay_Lower_47,MEAY,Low,End,5723949.88,562450.236,Called Lower_2
Meay_Mid_0,MEAY,Mid,Start,5723984.88,562429.798,Called Mid_1
Meay_Mid_1,,,1,5723983.904,562430.0173,
Meay_Mid_2,,,2,5723982.929,562430.2365,
Meay_Mid_3,,,3,5723981.953,562430.4558,
Meay_Mid_4,,,4,5723980.977,562430.6751,
Meay_Mid_5,,,5,5723980.002,562430.8943,
Meay_Mid_6,,,6,5723979.026,562431.1136,
Meay_Mid_7,,,7,5723978.05,562431.3329,
Meay_Mid_8,,,8,5723977.075,562431.5521,
Meay_Mid_9,,,9,5723976.099,562431.7714,
Meay_Mid_10,,,10,5723975.123,562431.9907,
Meay_Mid_11,,,11,5723974.148,562432.2099,
Meay_Mid_12,,,12,5723973.172,562432.4292,
Meay_Mid_13,,,13,5723972.196,562432.6485,
Meay_Mid_14,,,14,5723971.221,562432.8677,
Meay_Mid_15,,,15,5723970.245,562433.087,
Meay_Mid_16,,,16,5723969.269,562433.3063,
Meay_Mid_17,,,17,5723968.294,562433.5255,
Meay_Mid_18,,,18,5723967.318,562433.7448,
Meay_Mid_19,,,19,5723966.342,562433.9641,
Meay_Mid_20,,,20,5723965.367,562434.1833,
Meay_Mid_21,,,21,5723964.391,562434.4026,
Meay_Mid_22,,,22,5723963.415,562434.6219,
Meay_Mid_23,,,23,5723962.44,562434.8411,
Meay_Mid_24,,,24,5723961.464,562435.0604,
Meay_Mid_25,,,25,5723960.488,562435.2797,
Meay_Mid_26,,,26,5723959.513,562435.4989,
Meay_Mid_27,,,27,5723958.537,562435.7182,
Meay_Mid_28,,,28,5723957.561,562435.9375,
Meay_Mid_29,,,29,5723956.586,562436.1567,
Meay_Mid_30,,,30,5723955.61,562436.376,
Meay_Mid_31,,,31,5723954.634,562436.5953,
Meay_Mid_32,,,32,5723953.659,562436.8145,
Meay_Mid_33,,,33,5723952.683,562437.0338,
Meay_Mid_34,,,34,5723951.707,562437.2531,
Meay_Mid_35,,,35,5723950.732,562437.4723,
Meay_Mid_36,,,36,5723949.756,562437.6916,
Meay_Mid_37,,,37,5723948.78,562437.9109,
Meay_Mid_38,,,38,5723947.805,562438.1301,
Meay_High_0,MEAY,High,Start,5723979.58,562416.271,Called Meay_High_1
Meay_High_1,,,1,5723978.602,562416.4819,
Meay_High_2,,,2,5723977.625,562416.6928,
Meay_High_3,,,3,5723976.647,562416.9037,
Meay_High_4,,,4,5723975.67,562417.1146,
Meay_High_5,,,5,5723974.692,562417.3255,
Meay_High_6,,,6,5723973.715,562417.5364,
Meay_High_7,,,7,5723972.737,562417.7473,
Meay_High_8,,,8,5723971.76,562417.9582,
Meay_High_9,,,9,5723970.782,562418.1691,
Meay_High_10,,,10,5723969.805,562418.38,
Meay_High_11,,,11,5723968.827,562418.5909,
Meay_High_12,,,12,5723967.85,562418.8018,
Meay_High_13,,,13,5723966.872,562419.0127,
Meay_High_14,,,14,5723965.895,562419.2236,
Meay_High_15,,,15,5723964.917,562419.4345,
Meay_High_16,,,16,5723963.94,562419.6454,
Meay_High_17,,,17,5723962.962,562419.8563,
Meay_High_18,,,18,5723961.985,562420.0672,
Meay_High_19,,,19,5723961.007,562420.2781,
Meay_High_20,,,20,5723960.03,562420.489,
Meay_High_21,,,21,5723959.052,562420.6999,
Meay_High_22,,,22,5723958.075,562420.9108,
