1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D90000003929B421
Is Mission Active?  true
Mission Start:  Wed Jun 10 16:01:00 PDT 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  4206
Total Samples:  4206
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/10/15 4:01:00 PM,C,21.5
6/10/15 8:01:00 PM,C,21.5
6/11/15 12:01:00 AM,C,21.5
6/11/15 4:01:00 AM,C,20
6/11/15 8:01:00 AM,C,19.5
6/11/15 12:01:00 PM,C,23
6/11/15 4:01:00 PM,C,18.5
6/11/15 8:01:00 PM,C,18.5
6/12/15 12:01:00 AM,C,19
6/12/15 4:01:00 AM,C,19
6/12/15 8:01:00 AM,C,18.5
6/12/15 12:01:00 PM,C,20
6/12/15 4:01:00 PM,C,21.5
6/12/15 8:01:00 PM,C,22
6/13/15 12:01:00 AM,C,22
6/13/15 4:01:00 AM,C,21
6/13/15 8:01:00 AM,C,20.5
6/13/15 12:01:00 PM,C,20
6/13/15 4:01:00 PM,C,16
6/13/15 8:01:00 PM,C,16.5
6/14/15 12:01:00 AM,C,16.5
6/14/15 4:01:00 AM,C,14
6/14/15 8:01:00 AM,C,12.5
6/14/15 12:01:00 PM,C,13
6/14/15 4:01:00 PM,C,15
6/14/15 8:01:00 PM,C,17.5
6/15/15 12:01:00 AM,C,16.5
6/15/15 4:01:00 AM,C,15
6/15/15 8:01:00 AM,C,14
6/15/15 12:01:00 PM,C,14
6/15/15 4:01:00 PM,C,16
6/15/15 8:01:00 PM,C,17
6/16/15 12:01:00 AM,C,16
6/16/15 4:01:00 AM,C,15
6/16/15 8:01:00 AM,C,13
6/16/15 12:01:00 PM,C,11
6/16/15 4:01:00 PM,C,11.5
6/16/15 8:01:00 PM,C,19
6/17/15 12:01:00 AM,C,12
6/17/15 4:01:00 AM,C,11.5
6/17/15 8:01:00 AM,C,13
6/17/15 12:01:00 PM,C,11.5
6/17/15 4:01:00 PM,C,12.5
6/17/15 8:01:00 PM,C,14
6/18/15 12:01:00 AM,C,12.5
6/18/15 4:01:00 AM,C,12
6/18/15 8:01:00 AM,C,13
6/18/15 12:01:00 PM,C,13
6/18/15 4:01:00 PM,C,12.5
6/18/15 8:01:00 PM,C,13
6/19/15 12:01:00 AM,C,13
6/19/15 4:01:00 AM,C,13
6/19/15 8:01:00 AM,C,11.5
6/19/15 12:01:00 PM,C,21
6/19/15 4:01:00 PM,C,13
6/19/15 8:01:00 PM,C,13.5
6/20/15 12:01:00 AM,C,13
6/20/15 4:01:00 AM,C,13
6/20/15 8:01:00 AM,C,20
6/20/15 12:01:00 PM,C,23
6/20/15 4:01:00 PM,C,15
6/20/15 8:01:00 PM,C,14.5
6/21/15 12:01:00 AM,C,13
6/21/15 4:01:00 AM,C,13
6/21/15 8:01:00 AM,C,12.5
6/21/15 12:01:00 PM,C,18.5
6/21/15 4:01:00 PM,C,13.5
6/21/15 8:01:00 PM,C,14
6/22/15 12:01:00 AM,C,12.5
6/22/15 4:01:00 AM,C,11.5
6/22/15 8:01:00 AM,C,12.5
6/22/15 12:01:00 PM,C,19.5
6/22/15 4:01:00 PM,C,13
6/22/15 8:01:00 PM,C,13.5
6/23/15 12:01:00 AM,C,13
6/23/15 4:01:00 AM,C,13
6/23/15 8:01:00 AM,C,13
6/23/15 12:01:00 PM,C,26.5
6/23/15 4:01:00 PM,C,14.5
6/23/15 8:01:00 PM,C,14
6/24/15 12:01:00 AM,C,14
6/24/15 4:01:00 AM,C,14
6/24/15 8:01:00 AM,C,14
6/24/15 12:01:00 PM,C,16
6/24/15 4:01:00 PM,C,14
6/24/15 8:01:00 PM,C,14
6/25/15 12:01:00 AM,C,14
6/25/15 4:01:00 AM,C,14
6/25/15 8:01:00 AM,C,14.5
6/25/15 12:01:00 PM,C,14.5
6/25/15 4:01:00 PM,C,14.5
6/25/15 8:01:00 PM,C,14.5
6/26/15 12:01:00 AM,C,14.5
6/26/15 4:01:00 AM,C,13.5
6/26/15 8:01:00 AM,C,14
6/26/15 12:01:00 PM,C,15
6/26/15 4:01:00 PM,C,15.5
6/26/15 8:01:00 PM,C,15.5
6/27/15 12:01:00 AM,C,14.5
6/27/15 4:01:00 AM,C,11.5
