UID,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Anemone,Antithamnion.defectum,Antithamnionella.spp.,Bangia.sp.,Barnacles,Blidingia,Bossiella_articulate,Bryozoan,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha.cannabina,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Dilsea.californica,Ectocarpus.commensalis,Ectocarpus.sp.,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hydroid,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.sp.,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma.grevillei,Mytilus.sp.,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Palmaria.mollis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Pododesmus.sp.,Pollicipes.polymerus,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Styela.sp.,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Tube.worms,Tunicata/Porifera,Ulva,Unknown.crust
Fifth Beach MID 2013 1,0,0,53,0,2,0,0,0,10,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,20,0,0,23,0,0.5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,4,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach MID 2013 10,0,0,0.5,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach MID 2013 2,0,0,48,0,2,0,0,0,12,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0.5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach MID 2013 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,50,0,0.5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach MID 2013 4,0.5,0,75,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,6,0,0,0,0,0,0.5,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,50,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
Fifth Beach MID 2013 5,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach MID 2013 6,2,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,18,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,45,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1.5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
Fifth Beach MID 2013 7,4,0,2,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,4,0,3,24,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,20,0,0,0,4,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0
Fifth Beach MID 2013 8,3,0,25,0,2,0,0,0,9,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,18,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Fifth Beach MID 2013 9,2,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0.5,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,30,0,0.5,0,0,0,2,0,0.5,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0
Fifth Beach HIGH 2013 1,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2013 10,0.5,0,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2013 2,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach HIGH 2013 3,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0
Fifth Beach HIGH 2013 4,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2013 5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,6,0,0,60,0,1,0,0,0,90,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
Fifth Beach HIGH 2013 6,13,0,4,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Fifth Beach HIGH 2013 7,1,0,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Fifth Beach HIGH 2013 8,0.5,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,18,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8,0,0,0,2,0,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifth Beach HIGH 2013 9,0.5,0,1,0,0,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Foggy Cove LOW 2013 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0.5,3,4,0.5,0,0,0,2,0,0,0,1,0,0,0,16,0,0.5,3,0,0,0,0,0,0,3,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,18,0,0,4,0,0,1,3,6,0,0,11,0,4,0,0,24,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Foggy Cove LOW 2013 10,0.5,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,9,2,0,0.5,0,0,0,0,0,0,0,13,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,2,0,0,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0
Foggy Cove LOW 2013 2,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0.5,1,0,0,10,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foggy Cove LOW 2013 3,0.5,0,50,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,9,0,0,0,2,0,0,0,0,35,0,0,0,0,7,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
Foggy Cove LOW 2013 4,8,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,6,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
Foggy Cove LOW 2013 5,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0.5,0,0,0,0,6,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,0,0,0.5,0,13,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Foggy Cove LOW 2013 6,0,0,58,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,0,12,0,0,8,0,0,0.5,0,0,0,6,1,0,0,0,0,8,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Foggy Cove LOW 2013 7,12,0,60,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0
Foggy Cove LOW 2013 8,1,0,35,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,32,0,0.5,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Foggy Cove LOW 2013 9,25,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,7,0.5,0,0,0,0,0,0,0,0,0,68,0,0,0,0,6,0,0.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,35,2,0,0,0,0,2,0,0,20,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Foggy Cove MID 2013 1,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,7,0,55,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.5,0
Foggy Cove MID 2013 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foggy Cove MID 2013 2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,70,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Foggy Cove MID 2013 3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,65,0,0.5,0,0,0,10.5,0,0,0,0,0,0,0,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,4,0
